owner_project,teamno,noofmembers,concerned_years,noofyears,proj_size,proj_language,proj_age,median_pr_merged,stanfordandgender,stanfordandgenderwithoutNAN,eth_stanandnameprism_st,eth_stanandnameprism_st_withoutNAN,knownethnicityprop,knowngenderprop,atleast75genprop,ethblau_st_cat,eth_blau_index,gender_blau_index,project_star_count,project_watchers_count,project_language,project_forks_count
scala_scala,120,8,"['2018', '2017', '2016', '2015']",4,123866,Scala,2587,18.5,"['male', 'male', 'male', 'UnKnown', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'UnKnown', 'male', 'male', 'male', 'male']","['White', 'White', 'White', 'NAN', 'White', 'White', 'White', 'White']","['White', 'White', 'White', 'Unknown', 'White', 'White', 'White', 'White']",0.875,0.875,1,heterogeneous,0,0,12340,12340,Scala,2831
moneyadviceservice_frontend,12,4,"['2018', '2017']",2,48634,Ruby,1838,1.5,"['male', 'male', 'male', 'female']","['male', 'male', 'male', 'female']","['Unknown', 'Black', 'White', 'White']","['Unknown', 'Black', 'White', 'White']",0.75,1,1,heterogeneous,0.444444444,0.375,9,9,Ruby,9
Katello_katello,25,8,"['2018', '2017', '2016']",3,108861,Ruby,2454,18.5,"['male', 'male', 'male', 'male', 'male', 'male', 'male', 'male']","['male', 'male', 'male', 'male', 'male', 'male', 'male', 'male']","['White', 'White', 'White', 'API', 'White', 'White', 'White', 'White']","['White', 'White', 'White', 'API', 'White', 'White', 'White', 'White']",1,1,1,heterogeneous,0.21875,0,278,278,Ruby,233
jbosstools_jbosstools-openshift,12,4,"['2018', '2017']",2,20917,Java,2263,10,"['male', 'male', 'male', 'male']","['male', 'male', 'male', 'male']","['White', 'White', 'White', 'White']","['White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0,16,16,Java,60
apache_drill,13,5,['2018'],1,84066,Java,2308,1,"['male', 'female', 'male', 'male', 'male']","['male', 'female', 'male', 'male', 'male']","['White', 'White', 'White', 'White', 'White']","['White', 'White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0.32,1317,1317,Java,778
Katello_katello,50,8,"['2018', '2017', '2016']",3,108861,Ruby,2454,19,"['male', 'male', 'UnKnown', 'male', 'male', 'male', 'male', 'male']","['male', 'male', 'UnKnown', 'male', 'male', 'male', 'male', 'male']","['White', 'White', 'Unknown', 'API', 'White', 'White', 'White', 'White']","['White', 'White', 'Unknown', 'API', 'White', 'White', 'White', 'White']",0.875,0.875,1,heterogeneous,0.244897959,0,278,278,Ruby,233
AliceO2Group_AliceO2,11,4,['2018'],1,171222,C++,1546,5,"['male', 'male', 'male', 'male']","['male', 'male', 'male', 'male']","['White', 'Hispanic', 'White', 'Unknown']","['White', 'Hispanic', 'White', 'Unknown']",0.75,1,1,heterogeneous,0.444444444,0,44,44,C++,141
AliceO2Group_AliceO2,22,4,"['2018', '2017']",2,171222,C++,1546,12,"['male', 'male', 'male', 'male']","['male', 'male', 'male', 'male']","['White', 'White', 'White', 'Unknown']","['White', 'White', 'White', 'Unknown']",0.75,1,1,heterogeneous,0,0,44,44,C++,141
apache_storm,53,3,"['2017', '2015', '2018']",3,180514,Java,1882,4,"['male', 'unisex', 'male']","['male', 'unisex', 'male']","['White', 'API', 'API']","['White', 'API', 'API']",1,1,1,heterogeneous,0.444444444,0.444444444,5949,5949,Java,4006
AliceO2Group_AliceO2,19,4,['2018'],1,171222,C++,1546,6.5,"['male', 'male', 'female', 'male']","['male', 'male', 'female', 'male']","['White', 'White', 'White', 'White']","['White', 'White', 'White', 'White']",1,1,1,homogeneous,0,0.375,44,44,C++,141
